timestamp,joystick_throttle,joystick_direction,distance_L,distance_C,distance_R
1744229775.7528100,-0.2,0.01,245.41,497.17,232.7
1744229776.290760,-0.4,0.01,296.89,496.64,232.17
1744229776.828810,-0.6,0.01,249.67,501.21,240.71
1744229777.2660700,-0.7,0.01,249.79,495.98,232.62
1744229777.8037700,-0.9,0.01,250.81,498.19,249.09
1744229778.342300,-1.0,0.01,260.99,459.63,452.6
1744229778.785730,-1.0,0.2,269.99,391.43,1383.14
1744229779.3277300,-1.0,0.74,357.08,961.99,434.61
1744229779.7795200,-1.0,0.01,260.58,1597.08,1623.08
1744229780.3310000,-1.0,-0.09,254.66,1490.64,1641.89
1744229780.7733800,-1.0,-0.28,289.7,1416.71,121.28
1744229781.3152800,-1.0,0.0,294.19,1320.95,115.35
1744229781.7573700,-1.0,0.0,294.85,1227.85,100.55
1744229782.2985100,-1.0,0.0,285.2,1124.36,121.81
1744229782.838570,-1.0,0.05,262.38,1026.59,146.26
1744229783.2781000,-1.0,0.07,254.9,954.02,168.18
1744229783.817340,-1.0,0.15,222.39,857.56,206.82
1744229784.2563800,-1.0,0.24,207.63,779.63,207.63
1744229784.7943200,-1.0,0.16,178.36,681.0,208.7
1744229785.3322900,-1.0,0.01,187.07,576.74,196.63
1744229785.7694900,-1.0,0.01,203.46,510.66,176.68
1744229786.3106700,-1.0,0.11,197.9,416.66,949.27
1744229786.753150,-1.0,0.48,305.4,352.62,1200.62
1744229787.2984900,-1.0,0.48,446.34,1208.35,664.44
1744229787.837340,-1.0,0.0,214.18,828.9,138.37
1744229788.2756000,-1.0,-0.34,265.98,738.98,150.84
1744229788.8164600,-1.0,0.0,268.43,1167.66,125.94
1744229789.254100,-1.0,0.04,271.5,612.96,123.44
1744229789.7964800,-1.0,0.04,270.36,1010.81,136.45
1744229790.3378100,-1.0,0.07,582.05,914.15,141.11
1744229790.7770100,-1.0,0.11,271.05,829.47,148.39
1744229791.3169200,-1.0,0.1,425.08,734.94,151.82
1744229791.7555600,-1.0,0.1,167.44,668.7,156.36
1744229792.3029900,-1.0,0.11,167.44,559.81,177.58
1744229792.8488500,-1.0,0.25,251.38,461.23,1708.78
1744229793.2940900,-1.0,0.36,272.36,378.14,1673.82
1744229793.8506500,-1.0,0.33,355.57,2050.82,1704.57
1744229794.3003200,-1.0,0.33,505.71,1666.83,914.68
1744229794.8441100,-1.0,0.22,189.52,1522.21,227.3
1744229795.2870300,-1.0,-0.16,202.44,1428.61,208.25
1744229795.8292100,-1.0,0.01,225.5,1323.94,195.24
1744229796.270830,-1.0,0.01,245.25,1236.11,191.28
1744229796.8124800,-1.0,0.01,340.97,1134.17,177.91
1744229797.2523300,-1.0,0.01,290.23,899.96,175.25
1744229797.7930400,-1.0,0.01,315.82,941.55,167.07
1744229798.332520,-1.0,0.01,328.7,834.54,159.63
1744229798.7715100,-1.0,0.01,357.0,749.78,151.78
1744229799.31043,-1.0,0.02,369.63,648.5,140.45
1744229799.7490500,-1.0,0.01,390.69,553.72,138.65
1744229800.294440,-1.0,0.21,441.72,451.04,1450.37
1744229800.839370,-1.0,0.42,445.81,360.76,1457.19
1744229801.2926700,-1.0,0.44,580.33,1701.01,1447.83
1744229801.8452800,-1.0,0.02,452.72,1349.82,1575.69
1744229802.2869200,-1.0,0.02,198.19,1253.24,227.34
1744229802.8278300,-1.0,0.02,203.38,1162.8,217.61
1744229803.2680600,-1.0,0.02,222.8,1081.96,208.53
1744229803.8084500,-1.0,-0.1,255.31,994.58,181.75
1744229804.2479500,-1.0,0.0,262.79,929.65,175.54
1744229804.7871500,-1.0,0.0,276.69,849.01,160.53
1744229805.3259200,-1.0,0.0,290.64,746.1,153.86
1744229805.7643500,-1.0,0.0,309.69,666.94,139.88
1744229806.3020800,-1.0,0.0,324.78,562.51,136.4
1744229806.8406200,-1.0,0.01,340.11,449.33,380.67
1744229807.2861600,-1.0,0.44,340.36,372.91,1579.98
1744229807.8243900,-1.0,0.52,396.21,314.88,410.81
1744229808.2709200,-1.0,0.47,530.82,1559.01,388.44
1744229808.8132600,-1.0,0.01,183.22,1428.98,208.41
1744229809.25671,-1.0,-0.19,214.71,1358.65,192.91
1744229809.7987200,-1.0,0.0,240.3,1259.62,171.04
1744229810.339950,-1.0,0.05,251.59,1156.13,141.52
1744229810.7804000,-1.0,0.0,256.62,1071.78,135.75
1744229811.320060,-1.0,0.0,261.65,966.28,126.67
1744229811.7611200,-1.0,0.0,263.53,888.02,129.37
1744229812.300400,-1.0,0.0,266.15,793.04,124.1
1744229812.8388600,-1.0,0.01,266.23,692.57,126.1
1744229813.2767200,-1.0,0.15,265.53,609.98,122.71
1744229813.8146100,-1.0,0.02,264.14,514.14,124.55
1744229814.255770,-1.0,0.46,261.65,435.1,961.38
1744229814.796640,-1.0,0.46,291.21,358.35,906.01
1744229815.3418800,-1.0,0.05,461.02,1208.22,648.99
1744229815.7963600,-1.0,0.01,461.02,1135.52,877.43
1744229816.3378900,-1.0,0.02,185.39,1242.53,251.22
1744229816.7786000,-1.0,0.22,171.98,1154.86,250.03
1744229817.3190100,-1.0,0.02,158.04,1065.81,237.36
1744229817.759170,-1.0,0.02,162.78,992.66,235.07
1744229818.299000,-1.0,0.02,196.59,913.54,220.68
1744229818.8391000,-1.0,0.02,221.17,400.67,198.27
1744229819.277450,-1.0,0.02,237.36,733.01,181.01
1744229819.8158200,-1.0,0.02,268.07,654.14,152.72
1744229820.2582600,-1.0,-0.08,314.43,620.45,711.59
1744229820.8049000,-1.0,0.0,358.02,476.64,1628.23
1744229821.2470500,-1.0,0.0,339.17,387.3,972.17
1744229821.7925200,-1.0,0.74,349.23,342.81,1640.34
1744229822.3400800,-1.0,0.01,1274.42,1215.79,225.95
1744229822.7826400,-1.0,-0.01,210.41,1457.81,197.37
1744229823.3253400,-1.0,-0.17,241.16,1391.81,184.9
1744229823.766610,-1.0,0.0,250.69,1232.51,180.12
1744229824.3145600,-1.0,0.0,1408.29,1189.5,179.01
1744229824.7551900,-1.0,0.0,284.79,1104.37,171.53
1744229825.2974000,-1.0,0.0,305.81,1003.7,169.03
1744229825.8372200,-1.0,0.0,318.07,897.1,169.28
1744229826.2763500,-1.0,0.0,328.91,808.17,167.73
1744229826.8152600,-1.0,0.0,342.03,706.56,161.67
1744229827.2537400,-1.0,0.0,375.73,615.25,157.75
1744229827.7993200,-1.0,0.04,369.88,508.66,1489.37
1744229828.344280,-1.0,0.38,383.7,400.96,1484.18
1744229828.788810,-1.0,0.6,429.25,345.26,1462.8
1744229829.341290,-1.0,0.46,608.22,1445.58,1478.74
1744229829.7871500,-1.0,0.01,241.45,1333.47,879.15
1744229830.3292500,-1.0,-0.32,297.87,1254.1,136.12
1744229830.7707200,-1.0,0.0,302.82,1174.57,11.78
1744229831.311510,-1.0,0.02,298.45,1077.09,136.73
1744229831.7538400,-1.0,0.07,242.76,1002.47,148.14
1744229832.2935900,-1.0,0.31,285.94,926.34,152.6
1744229832.8328400,-1.0,0.02,297.59,844.31,141.68
1744229833.272060,-1.0,0.0,324.58,775.33,120.09
1744229833.8109300,-1.0,-0.35,432.89,688.32,84.84
1744229834.248620,-1.0,0.0,378.96,603.52,86.15
1744229834.7874000,-1.0,0.3,370.62,488.99,338.35
1744229835.3256300,-1.0,0.42,379.49,397.64,348.29
1744229835.768390,-1.0,0.47,457.79,1030.11,326.58
1744229836.3256400,-1.0,0.01,457.79,1493.05,306.34
1744229836.767700,-1.0,0.01,226.36,1313.23,218.92
1744229837.3081200,-1.0,0.01,198.19,945.39,228.98
1744229837.7489300,-1.0,0.01,195.45,1097.37,201.66
1744229838.2906000,-1.0,0.01,195.33,1090.87,198.56
1744229838.8304300,-1.0,0.01,201.3,1001.37,195.69
1744229839.2704500,-1.0,0.01,202.52,926.42,187.19
1744229839.8092500,-1.0,0.09,200.4,816.92,195.94
1744229840.2473600,-1.0,0.2,197.29,736.65,196.68
1744229840.7862200,-1.0,0.01,199.58,635.94,183.43
1744229841.3233600,-1.0,0.01,219.04,538.38,165.6
1744229841.7598700,-1.0,0.01,242.31,459.43,157.91
1744229842.3009500,-1.0,0.05,273.95,366.81,940.97
1744229842.8451700,-1.0,0.51,325.92,287.12,1489.05
1744229843.2920500,-1.0,0.02,438.78,1440.39,716.0
